campaignid,total_clicks,total_conversions,revenue,revenue_per_click
120,70,31,8637.00,123.39
133,59,26,7204.00,122.10
190,57,22,6711.00,117.74
104,49,19,6461.00,131.86
199,66,20,6219.00,94.23
134,48,21,6064.00,126.33
137,59,17,5942.00,100.71
179,54,21,5917.00,109.57
148,54,20,5753.00,106.54
129,52,20,5639.00,108.44
191,49,19,5617.00,114.63
113,58,21,5574.00,96.10
167,57,21,5539.00,97.18
181,45,20,5489.00,121.98
187,52,20,5157.00,99.17
111,43,17,5145.00,119.65
132,47,16,5114.00,108.81
175,61,22,5100.00,83.61
169,48,16,5098.00,106.21
127,57,17,5084.00,89.19
156,56,16,5042.00,90.04
105,50,17,4962.00,99.24
198,49,15,4945.00,100.92
107,46,15,4790.00,104.13
153,57,21,4705.00,82.54
124,54,15,4705.00,87.13
116,53,16,4622.00,87.21
188,40,16,4609.00,115.23
131,43,17,4600.00,106.98
117,46,17,4600.00,100.00
122,42,14,4529.00,107.83
125,44,16,4528.00,102.91
160,41,15,4477.00,109.20
166,48,16,4449.00,92.69
180,53,16,4438.00,83.74
158,47,17,4407.00,93.77
152,53,15,4405.00,83.11
126,55,17,4386.00,79.75
193,62,16,4378.00,70.61
168,46,16,4365.00,94.89
115,51,17,4328.00,84.86
142,46,16,4327.00,94.07
140,58,16,4307.00,74.26
185,51,17,4235.00,83.04
108,45,17,4162.00,92.49
123,44,15,4112.00,93.45
154,45,15,4093.00,90.96
164,57,13,4046.00,70.98
194,43,16,4030.00,93.72
184,42,16,4027.00,95.88
189,41,14,3932.00,95.90
138,43,14,3916.00,91.07
161,45,13,3904.00,86.76
174,48,16,3896.00,81.17
163,55,13,3890.00,70.73
195,49,15,3876.00,79.10
157,50,15,3869.00,77.38
171,41,13,3855.00,94.02
170,55,14,3852.00,70.04
130,42,13,3814.00,90.81
197,46,17,3784.00,82.26
147,43,16,3751.00,87.23
102,43,14,3734.00,86.84
151,45,13,3727.00,82.82
109,50,14,3718.00,74.36
112,45,12,3651.00,81.13
103,47,11,3649.00,77.64
192,52,14,3628.00,69.77
119,45,14,3617.00,80.38
121,46,14,3588.00,78.00
155,49,16,3540.00,72.24
149,44,14,3516.00,79.91
144,49,12,3489.00,71.20
182,57,13,3474.00,60.95
159,38,12,3342.00,87.95
136,61,12,3267.00,53.56
173,47,13,3234.00,68.81
145,42,11,3227.00,76.83
183,54,15,3198.00,59.22
100,50,12,3183.00,63.66
110,44,11,3162.00,71.86
143,47,13,3156.00,67.15
114,45,10,3065.00,68.11
178,44,11,3015.00,68.52
177,53,14,2990.00,56.42
141,38,10,2961.00,77.92
118,46,13,2908.00,63.22
165,49,12,2878.00,58.73
135,49,10,2864.00,58.45
128,38,8,2600.00,68.42
150,36,10,2491.00,69.19
172,35,9,2363.00,67.51
146,39,8,2209.00,56.64
176,37,8,2182.00,58.97
106,53,10,2155.00,40.66
101,48,9,2142.00,44.63
162,32,8,2069.00,64.66
186,40,10,2067.00,51.68
139,44,9,1829.00,41.57
196,39,7,1744.00,44.72
