adplatform,productcategory,total_conversions,total_clicks,conversion_rate_percent
Instagram,Home Entertainment,30,85,35.29
Facebook,Accessories,99,286,34.62
Facebook,Laptops,118,344,34.30
Twitter,Accessories,30,88,34.09
Instagram,Accessories,73,221,33.03
Google,Smartphones,198,606,32.67
Instagram,Smartphones,83,259,32.05
Google,Accessories,132,415,31.81
Instagram,Wearables,44,141,31.21
Twitter,Smartphones,45,146,30.82
Google,Home Entertainment,51,168,30.36
Facebook,Smartphones,137,452,30.31
Google,Laptops,142,479,29.65
Twitter,Laptops,34,115,29.57
Twitter,Home Entertainment,14,48,29.17
Google,Wearables,92,316,29.11
Instagram,Laptops,68,238,28.57
Facebook,Home Entertainment,36,140,25.71
Facebook,Wearables,56,225,24.89
Twitter,Wearables,14,58,24.14
